xTarget,xPre-Infected,xInfected,xVirus,xCDE8e,xCD8m,yTarget,yPre-Infected,yInfected,yVirus,yCDE8e,yCD8m
1.2449296278158644e-25,939.4997802079499,6070708.007983164,666410.6811724576,169380.37570263539,0.00024985343650211323,7.437724094287719e-26,901.7048338833841,6052938.131226355,664473.0284610821,169298.5687564287,0.00036788717773996056
7.437724094287719e-26,901.7048338833841,6052938.131226355,664473.0284610821,169298.5687564287,0.00036788717773996056,3.211673870280839e-26,864.7637460121991,6035192.135392721,662537.8589354282,169214.64955828444,0.0005113327631143089
3.211673870280839e-26,864.7637460121991,6035192.135392721,662537.8589354282,169214.64955828444,0.0005113327631143089,9.838210806898031e-27,829.3758466966301,6017490.470989763,660607.302393982,169126.8370115901,0.0006814400060334877
9.838210806898031e-27,829.3758466966301,6017490.470989763,660607.302393982,169126.8370115901,0.0006814400060334877,8.774369026365107e-28,795.4118884069526,5999830.807424766,658681.1212932852,169035.3798342649,0.0008795706649275724
8.774369026365107e-28,795.4118884069526,5999830.807424766,658681.1212932852,169035.3798342649,0.0008795706649275724,3.4209807896661547e-28,763.503483386083,5982234.867964799,656761.5896438765,168938.49097951016,0.0011061431894747805
3.4209807896661547e-28,763.503483386083,5982234.867964799,656761.5896438765,168938.49097951016,0.0011061431894747805,-1.6530474354630355e-29,731.6604720069898,5964640.98687793,654842.2728859239,168841.42857150952,0.0013611783630440126
-1.6530474354630355e-29,731.6604720069898,5964640.98687793,654842.2728859239,168841.42857150952,0.0013611783630440126,-1.2900191666148333e-28,701.5370329452317,5947104.822579864,652928.993745914,168739.58481347372,0.0016446809714725894
-1.2900191666148333e-28,701.5370329452317,5947104.822579864,652928.993745914,168739.58481347372,0.0016446809714725894,-1.2228491004904633e-28,672.2462050416988,5929596.6045576725,651018.638000295,168635.42623955186,0.0019566413996147006
-1.2228491004904633e-28,672.2462050416988,5929596.6045576725,651018.638000295,168635.42623955186,0.0019566413996147006,-1.0307354207553712e-28,643.6516508259862,5912113.478325113,649110.9125340929,168529.2419051847,0.002297071750499591
-1.0307354207553712e-28,643.6516508259862,5912113.478325113,649110.9125340929,168529.2419051847,0.002297071750499591,-6.091478868000842e-29,617.7908320308389,5894730.353038007,647213.6742338398,168415.0249760073,0.002665964463330325
-6.091478868000842e-29,617.7908320308389,5894730.353038007,647213.6742338398,168415.0249760073,0.002665964463330325,-3.210355186445164e-29,592.7946483864023,5877382.677640267,645320.1648913723,168298.0744319254,0.0030633127733317254
-3.210355186445164e-29,592.7946483864023,5877382.677640267,645320.1648913723,168298.0744319254,0.0030633127733317254,-1.262340354934845e-29,568.492008500047,5860064.351472628,643429.7452285131,168178.88632003384,0.003489473548984151
-1.262340354934845e-29,568.492008500047,5860064.351472628,643429.7452285131,168178.88632003384,0.003489473548984151,-1.9411177991341977e-30,545.0309618794064,5842782.429962446,641543.1600589799,168056.944449727,0.0039504079807126825
-1.9411177991341977e-30,545.0309618794064,5842782.429962446,641543.1600589799,168056.944449727,0.0039504079807126825,-7.087370241654889e-31,523.110373122164,5825569.746361679,639663.8743979002,167929.83603281522,0.004454135731787737
-7.087370241654889e-31,523.110373122164,5825569.746361679,639663.8743979002,167929.83603281522,0.004454135731787737,-3.5257708422263416e-31,502.03485035468196,5808398.036075117,637788.9158662554,167799.7530049238,0.005005513372326388
-3.5257708422263416e-31,502.03485035468196,5808398.036075117,637788.9158662554,167799.7530049238,0.005005513372326388,-2.09102380904433e-31,481.9132657805568,5791274.543001631,635919.0540832863,167666.22144008713,0.005608901078889655
-2.09102380904433e-31,481.9132657805568,5791274.543001631,635919.0540832863,167666.22144008713,0.005608901078889655,-1.1690399343943428e-31,462.48381894698866,5774187.824469951,634053.083574083,167530.10720923782,0.006269349055938398
-1.1690399343943428e-31,462.48381894698866,5774187.824469951,634053.083574083,167530.10720923782,0.006269349055938398,-6.374259654540343e-32,443.81638473484446,5757142.830684443,632191.5308390954,167391.09440881645,0.006992464593279794
-6.374259654540343e-32,443.81638473484446,5757142.830684443,632191.5308390954,167391.09440881645,0.006992464593279794,-3.718259708049778e-32,425.99356906726297,5740145.912758096,630335.0722149159,167248.78834016537,0.0077845948532193855
-3.718259708049778e-32,425.99356906726297,5740145.912758096,630335.0722149159,167248.78834016537,0.0077845948532193855,-2.0857164280117885e-32,408.81807724827127,5723187.693767233,628482.717943349,167103.8784048763,0.008652721083850616
-2.0857164280117885e-32,408.81807724827127,5723187.693767233,628482.717943349,167103.8784048763,0.008652721083850616,-1.2452151730860165e-32,392.4226379827765,5706277.760703782,626635.4880820699,166955.7601181714,0.009604669776885299
-1.2452151730860165e-32,392.4226379827765,5706277.760703782,626635.4880820699,166955.7601181714,0.009604669776885299,-7.24375522713995e-33,376.63956429087494,5689407.653364379,624792.4884836084,166805.04305908247,0.010649038073277408
-7.24375522713995e-33,376.63956429087494,5689407.653364379,624792.4884836084,166805.04305908247,0.010649038073277408,-4.362902782699879e-33,361.538892890207,5672583.541292998,622954.3774703483,166651.36398092585,0.011794849448200292
-4.362902782699879e-33,361.538892890207,5672583.541292998,622954.3774703483,166651.36398092585,0.011794849448200292,-2.5980528516054472e-33,347.02305436789106,5655800.698896506,621120.6561267271,166495.07222142347,0.013044588317196482
-2.5980528516054472e-33,347.02305436789106,5655800.698896506,621120.6561267271,166495.07222142347,0.013044588317196482,-1.2426122915539652e-33,332.8302200218413,5639041.474318814,619289.4483421302,166337.30608327748,0.014398319945794647
-1.2426122915539652e-33,332.8302200218413,5639041.474318814,619289.4483421302,166337.30608327748,0.014398319945794647,-7.629196658181777e-34,319.50354086204663,5622346.830278463,617465.1157474063,166175.5320598955,0.01585599763476444
-7.629196658181777e-34,319.50354086204663,5622346.830278463,617465.1157474063,166175.5320598955,0.01585599763476444,-2.854089983273733e-34,306.17922846751065,5605652.364053865,615640.8020850489,166013.75101838808,0.01741757945495799
-2.854089983273733e-34,306.17922846751065,5605652.364053865,615640.8020850489,166013.75101838808,0.01741757945495799,1.9210166916340982e-34,292.8549160729753,5588957.897829268,613816.4884226915,165851.9740727632,0.01908310894461882
1.9210166916340982e-34,292.8549160729753,5588957.897829268,613816.4884226915,165851.9740727632,0.01908310894461882,6.246528419488061e-34,279.661261886499,5572273.876364427,611993.287877072,165689.56845681166,0.02085263990988215
