xTarget,xPre-Infected,xInfected,xVirus,xCDE8e,xCD8m,yTarget,yPre-Infected,yInfected,yVirus,yCDE8e,yCD8m
10000000.0,75.0,0.0,0.0,0.0,0.0,10000000.0,74.6999749979165,0.3000250020835069,0.0,0.0,0.0
10000000.0,74.6999749979165,0.3000250020835069,0.0,0.0,0.0,10000000.0,74.39994999583298,0.6000500041670138,0.0,0.0,0.0
10000000.0,74.39994999583298,0.6000500041670138,0.0,0.0,0.0,10000000.0,74.09992499374948,0.9000750062505207,0.0,0.0,0.0
10000000.0,74.09992499374948,0.9000750062505207,0.0,0.0,0.0,10000000.0,73.79989999166598,1.2001000083340279,0.0,0.0,0.0
10000000.0,73.79989999166598,1.2001000083340279,0.0,0.0,0.0,10000000.0,73.49987498958247,1.5001250104175348,0.0,0.0,0.0
10000000.0,73.49987498958247,1.5001250104175348,0.0,0.0,0.0,10000000.0,73.19984998749896,1.800150012501042,0.0,0.0,0.0
10000000.0,73.19984998749896,1.800150012501042,0.0,0.0,0.0,10000000.0,72.89982498541545,2.100175014584549,0.0,0.0,0.0
10000000.0,72.89982498541545,2.100175014584549,0.0,0.0,0.0,10000000.0,72.59979998333195,2.4002000166680557,0.0,0.0,0.0
10000000.0,72.59979998333195,2.4002000166680557,0.0,0.0,0.0,10000000.0,72.29977498124843,2.7002250187515626,0.0,0.0,0.0
10000000.0,72.29977498124843,2.7002250187515626,0.0,0.0,0.0,10000000.0,72.00085858012143,2.9990749038211733,0.00027715023912677,8.896180515180275e-06,0.0
10000000.0,72.00085858012143,2.9990749038211733,0.00027715023912677,8.896180515180275e-06,0.0,9999999.999841131,71.7128997068053,3.286478225508308,0.00325149494764882,0.00010443806373599003,0.0
9999999.999841131,71.7128997068053,3.286478225508308,0.00325149494764882,0.00010443806373599003,0.0,9999999.99794685,71.42784239838524,3.572645550305088,0.006490542684786959,0.00020923123039217375,0.0
9999999.99794685,71.42784239838524,3.572645550305088,0.006490542684786959,0.00020923123039217375,0.0,9999999.994050322,71.14593110144857,3.85760024156349,0.009986177784461855,0.0003231305085750255,0.0
9999999.994050322,71.14593110144857,3.85760024156349,0.009986177784461855,0.0003231305085750255,0.0,9999999.987991374,70.86731341248979,4.141355171198802,0.013734751805208667,0.0004460875796989261,0.0
9999999.987991374,70.86731341248979,4.141355171198802,0.013734751805208667,0.0004460875796989261,0.0,9999999.979612283,70.59213384673093,4.423923827997229,0.017732667275462584,0.0005780546185975398,0.0
9999999.979612283,70.59213384673093,4.423923827997229,0.017732667275462584,0.0005780546185975398,0.0,9999999.96875759,70.32053408810498,4.705320280425426,0.021976374356693206,0.0007189842830958045,0.0
